,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State,School Long Name
215,,Princeton,Ivy,FCS,,,,,Tigers,,1869.0,Princeton,,New Jersey,Princeton University
216,,Kingston,CAA,FCS,,,,,Rams,,1895.0,Rhode Island,,Rhode Island,University of Rhode Island
217,,Richmond,CAA,FCS,,,,,Spiders,,1881.0,Richmond,,Virginia,University of Richmond
218,,Moon Township,Northeast,FCS,,,,,Colonials,,1994.0,Robert Morris,,Pennsylvania,Robert Morris University
219,,Sacramento,Big Sky,FCS,,,,,Hornets,,1954.0,Sacramento State,,California,"California State University, Sacramento"
220,,Fairfield,Northeast,FCS,,,,,Pioneers,,1991.0,Sacred Heart,,Connecticut,Sacred Heart University
221,,Loretto,Northeast,FCS,,,,,Red Flash,,1909.0,Saint Francis,,Pennsylvania,Saint Francis University
222,,Huntsville,Southland,FCS,,,,,Bearkats,,1912.0,Sam Houston State,,Texas,Sam Houston State University
223,,Birmingham,Southern,FCS,,,,,Bulldogs,,1902.0,Samford,,Alabama,Samford University
224,,San Diego,Pioneer,FCS,,,,,Toreros,,1956.0,San Diego,,California,University of San Diego
225,,Orangeburg,MEAC,FCS,,,,,Bulldogs,,1906.0,South Carolina State,,South Carolina,South Carolina State University
226,,Vermillion,Missouri Valley,FCS,,,,,Coyotes,,1889.0,South Dakota,,South Dakota,University of South Dakota
227,,Brookings,Missouri Valley,FCS,,,,,Jackrabbits,,1889.0,South Dakota State,,South Dakota,South Dakota State University
228,,Cape Girardeau,Ohio Valley,FCS,,,,,Redhawks,,1902.0,SE Missouri State,,Missouri,Southeast Missouri State University
229,,Hammond,Southland,FCS,,,,,Lions,,1930.0,SE Louisiana,,Louisiana,Southeastern Louisiana University
230,,Baton Rouge,SWAC,FCS,,,,,Jaguars,,1915.0,Southern,,Louisiana,Southern University
231,,Carbondale,Missouri Valley,FCS,,,,,Salukis,,1904.0,Southern Illinois,,Illinois,Southern Illinois University Carbondale
232,,Cedar City,Big Sky,FCS,,,,,Thunderbirds,,1929.0,Southern Utah,,Utah,Southern Utah University
233,,Nacogdoches,Southland,FCS,,,,,Lumberjacks,,1923.0,S.F. Austin,,Texas,Stephen F. Austin State University
234,,DeLand,Pioneer,FCS,,,,,Hatters,,1901.0,Stetson,,Florida,Stetson University
235,,Stony Brook,CAA,FCS,,,,,Seawolves,,1969.0,Stony Brook,,New York,Stony Brook University
236,,Nashville,Ohio Valley,FCS,,,,,Tigers,,1916.0,Tennessee State,,Tennessee,Tennessee State University
237,,Cookeville,Ohio Valley,FCS,,,,,Golden Eagles,,1917.0,Tennessee Tech,,Tennessee,Tennessee Technological University
238,,Houston,SWAC,FCS,,,,,Tigers,,1947.0,Texas Southern,,Texas,Texas Southern University
239,,Towson,CAA,FCS,,,,,Tigers,,1968.0,Towson,,Maryland,Towson University
240,,Davis,Big Sky,FCS,,,,,Aggies,,1915.0,California-Davis,,California,"University of California, Davis"
241,,Martin,Ohio Valley,FCS,,,,,Skyhawks,,1953.0,Tenn-Martin,,Tennessee,University of Tennessee at Martin
